time-ex3t1-simu;exx-ex3t1-simu;sxx-ex3t1-simu
730;0.00538641;107.728
731;0.00539379;107.876
732;0.00540117;108.023
733;0.00540854;108.171
734;0.00541592;108.318
735;0.0054233;108.466
736;0.00543068;108.614
737;0.00543806;108.761
738;0.00544544;108.909
739;0.00545282;109.056
740;0.00546019;109.204
741;0.00546757;109.351
742;0.00547495;109.499
743;0.00548233;109.647
744;0.00548971;109.794
745;0.00549709;109.942
746;0.00550447;110.089
747;0.00551184;110.237
748;0.00551922;110.384
749;0.0055266;110.532
750;0.00553398;110.68
751;0.00554136;110.827
752;0.00554874;110.975
753;0.00555612;111.122
754;0.0055635;111.27
755;0.00557087;111.417
756;0.00557825;111.565
757;0.00558563;111.713
758;0.00559301;111.86
759;0.00560039;112.008
760;0.00560777;112.155
761;0.00561515;112.303
762;0.00562252;112.45
763;0.0056299;112.598
764;0.00563728;112.746
765;0.00564466;112.893
766;0.00565204;113.041
767;0.00565942;113.188
768;0.0056668;113.336
769;0.00567417;113.483
770;0.00568155;113.631
771;0.00568893;113.779
772;0.00569631;113.926
773;0.00570369;114.074
774;0.00571107;114.221
775;0.00571845;114.369
776;0.00572583;114.517
777;0.0057332;114.664
778;0.00574058;114.812
779;0.00574796;114.959
780;0.00575534;115.107
781;0.00576272;115.254
782;0.0057701;115.402
783;0.00577748;115.55
784;0.00578485;115.697
785;0.00579223;115.845
786;0.00579961;115.992
787;0.00580699;116.14
788;0.00581437;116.287
789;0.00582175;116.435
790;0.00582913;116.583
791;0.0058365;116.73
792;0.00584388;116.878
793;0.00585126;117.025
794;0.00585864;117.173
795;0.00586602;117.32
796;0.0058734;117.468
797;0.00588078;117.616
798;0.00588816;117.763
799;0.00589553;117.911
800;0.00590291;118.058
801;0.00591029;118.206
802;0.00591767;118.353
803;0.00592505;118.501
804;0.00593243;118.649
805;0.00593981;118.796
806;0.00594718;118.944
807;0.00595456;119.091
808;0.00596194;119.239
809;0.00596932;119.386
810;0.0059767;119.534
811;0.00598408;119.682
812;0.00599146;119.829
813;0.00599883;119.977
814;0.00600621;120.124
815;0.00601359;120.272
816;0.00602097;120.419
817;0.00602835;120.567
