time-traction1_ex2_cnl;exx-traction1_ex2_cnl;sxx-traction1_ex2_cnl
380;0.038;760.0
381;0.0381;762.0
382;0.0382;764.0
383;0.0383;766.0
384;0.0384;768.0
385;0.0385;770.0
386;0.0386;772.0
387;0.0387;774.0
388;0.0388;776.0
389;0.0389;778.0
390;0.039;780.0
391;0.0391;782.0
392;0.0392;784.0
393;0.0393;786.0
394;0.0394;788.0
395;0.0395;790.0
396;0.0396;792.0
397;0.0397;794.0
398;0.0398;796.0
399;0.0399;798.0
400;0.04;800.0
401;0.0401;802.0
402;0.0402;804.0
403;0.0403;806.0
404;0.0404;808.0
405;0.0405;810.0
406;0.0406;812.0
407;0.0407;814.0
408;0.0408;816.0
409;0.0409;818.0
410;0.041;820.0
411;0.0411;822.0
412;0.0412;824.0
413;0.0413;826.0
414;0.0414;828.0
415;0.0415;830.0
416;0.0416;832.0
417;0.0417;834.0
418;0.0418;836.0
419;0.0419;838.0
420;0.042;840.0
421;0.0421;842.0
422;0.0422;844.0
423;0.0423;846.0
424;0.0424;848.0
425;0.0425;850.0
426;0.0426;852.0
427;0.0427;854.0
428;0.0428;856.0
429;0.0429;858.0
430;0.043;860.0
431;0.0431;862.0
432;0.0432;864.0
433;0.0433;866.0
434;0.0434;868.0
435;0.0435;870.0
436;0.0436;872.0
437;0.0437;874.0
438;0.0438;876.0
439;0.0439;878.0
440;0.044;880.0
441;0.0441;882.0
442;0.0442;884.0
443;0.0443;886.0
444;0.0444;888.0
445;0.0445;890.0
446;0.0446;892.0
447;0.0447;894.0
448;0.0448;896.0
449;0.0449;898.0
450;0.045;900.0
451;0.0451;902.0
452;0.0452;904.0
453;0.0453;906.0
454;0.0454;908.0
455;0.0455;910.0
456;0.0456;912.0
457;0.0457;914.0
458;0.0458;916.0
459;0.0459;918.0
460;0.046;920.0
461;0.0461;922.0
462;0.0462;924.0
463;0.0463;926.0
464;0.0464;928.0
465;0.0465;930.0
466;0.0466;932.0
467;0.0467;934.0
468;0.0468;936.0
469;0.0469;938.0
470;0.047;940.0
471;0.0471;942.0
472;0.0472;944.0
473;0.0473;946.0
474;0.0474;948.0
475;0.0475;950.0
476;0.0476;952.0
477;0.0477;954.0
478;0.0478;956.0
479;0.0479;958.0
480;0.048;960.0
481;0.0481;962.0
482;0.0482;964.0
483;0.0483;966.0
484;0.0484;968.0
485;0.0485;970.0
486;0.0486;972.0
487;0.0487;974.0
488;0.0488;976.0
489;0.0489;978.0
490;0.049;980.0
491;0.0491;982.0
492;0.0492;984.0
493;0.0493;986.0
494;0.0494;988.0
495;0.0495;990.0
496;0.0496;992.0
497;0.0497;994.0
498;0.0498;996.0
499;0.0499;998.0
500;0.05;1000.0
501;0.0501;1000.09
502;0.0502;1000.17
503;0.0503;1000.24
504;0.0504;1000.31
505;0.0505;1000.37
506;0.0506;1000.42
507;0.0507;1000.48
508;0.0508;1000.52
509;0.0509;1000.56
510;0.051;1000.6
511;0.0511;1000.64
512;0.0512;1000.67
513;0.0513;1000.7
514;0.0514;1000.73
515;0.0515;1000.75
516;0.0516;1000.77
517;0.0517;1000.79
518;0.0518;1000.81
519;0.0519;1000.83
520;0.052;1000.85
521;0.0521;1000.86
522;0.0522;1000.87
523;0.0523;1000.88
524;0.0524;1000.89
525;0.0525;1000.9
526;0.0526;1000.91
527;0.0527;1000.92
528;0.0528;1000.93
529;0.0529;1000.93
530;0.053;1000.94
531;0.0531;1000.95
532;0.0532;1000.95
533;0.0533;1000.96
534;0.0534;1000.96
535;0.0535;1000.96
536;0.0536;1000.97
537;0.0537;1000.97
538;0.0538;1000.97
539;0.0539;1000.97
540;0.054;1000.98
541;0.0541;1000.98
542;0.0542;1000.98
543;0.0543;1000.98
544;0.0544;1000.98
545;0.0545;1000.99
546;0.0546;1000.99
547;0.0547;1000.99
548;0.0548;1000.99
549;0.0549;1000.99
550;0.055;1000.99
551;0.0551;1000.99
552;0.0552;1000.99
553;0.0553;1000.99
554;0.0554;1000.99
555;0.0555;1000.99
556;0.0556;1001.0
557;0.0557;1001.0
558;0.0558;1001.0
559;0.0559;1001.0
560;0.056;1001.0
561;0.0561;1001.0
562;0.0562;1001.0
563;0.0563;1001.0
564;0.0564;1001.0
565;0.0565;1001.0
566;0.0566;1001.0
567;0.0567;1001.0
568;0.0568;1001.0
569;0.0569;1001.0
570;0.057;1001.0
571;0.0571;1001.0
572;0.0572;1001.0
573;0.0573;1001.0
574;0.0574;1001.0
575;0.0575;1001.0
576;0.0576;1001.0
577;0.0577;1001.0
578;0.0578;1001.0
579;0.0579;1001.0
580;0.058;1001.0
581;0.0581;1001.0
582;0.0582;1001.0
583;0.0583;1001.0
584;0.0584;1001.0
585;0.0585;1001.0
586;0.0586;1001.0
587;0.0587;1001.0
588;0.0588;1001.0
589;0.0589;1001.0
590;0.059;1001.0
591;0.0591;1001.0
592;0.0592;1001.0
593;0.0593;1001.0
594;0.0594;1001.0
595;0.0595;1001.0
596;0.0596;1001.0
597;0.0597;1001.0
598;0.0598;1001.0
599;0.0599;1001.0
600;0.06;1001.0
