time-cyclique1_ex2_il;exx-cyclique1_ex2_il;sxx-cyclique1_ex2_il
495;-0.014;-280.0
496;-0.0138667;-277.333
497;-0.0137333;-274.667
498;-0.0136;-272.0
499;-0.0134667;-269.333
500;-0.0133333;-266.667
501;-0.0132;-264.0
502;-0.0130667;-261.333
503;-0.0129333;-258.667
504;-0.0128;-256.0
505;-0.0126667;-253.333
506;-0.0125333;-250.667
507;-0.0124;-248.0
508;-0.0122667;-245.333
509;-0.0121333;-242.667
510;-0.012;-240.0
511;-0.0118667;-237.333
512;-0.0117333;-234.667
513;-0.0116;-232.0
514;-0.0114667;-229.333
515;-0.0113333;-226.667
516;-0.0112;-224.0
517;-0.0110667;-221.333
518;-0.0109333;-218.667
519;-0.0108;-216.0
520;-0.0106667;-213.333
521;-0.0105333;-210.667
522;-0.0104;-208.0
523;-0.0102667;-205.333
524;-0.0101333;-202.667
525;-0.01;-200.0
526;-0.00986667;-197.333
527;-0.00973333;-194.667
528;-0.0096;-192.0
529;-0.00946667;-189.333
530;-0.00933333;-186.667
531;-0.0092;-184.0
532;-0.00906667;-181.333
533;-0.00893333;-178.667
534;-0.0088;-176.0
535;-0.00866667;-173.333
536;-0.00853333;-170.667
537;-0.0084;-168.0
538;-0.00826667;-165.333
539;-0.00813333;-162.667
540;-0.008;-160.0
541;-0.00786667;-157.333
542;-0.00773333;-154.667
543;-0.0076;-152.0
544;-0.00746667;-149.333
545;-0.00733333;-146.667
546;-0.0072;-144.0
547;-0.00706667;-141.333
548;-0.00693333;-138.667
549;-0.0068;-136.0
550;-0.00666667;-133.333
551;-0.00653333;-130.667
552;-0.0064;-128.0
553;-0.00626667;-125.333
554;-0.00613333;-122.667
555;-0.006;-120.0
556;-0.00586667;-117.333
557;-0.00573333;-114.667
558;-0.0056;-112.0
559;-0.00546667;-109.333
560;-0.00533333;-106.667
561;-0.0052;-104.0
562;-0.00506667;-101.333
563;-0.00493333;-98.6667
564;-0.0048;-96.0
565;-0.00466667;-93.3333
566;-0.00453333;-90.6667
567;-0.0044;-88.0
568;-0.00426667;-85.3333
569;-0.00413333;-82.6667
570;-0.004;-80.0
571;-0.00386667;-77.3333
572;-0.00373333;-74.6667
573;-0.0036;-72.0
574;-0.00346667;-69.3333
575;-0.00333333;-66.6667
576;-0.0032;-64.0
577;-0.00306667;-61.3333
578;-0.00293333;-58.6667
579;-0.0028;-56.0
580;-0.00266667;-53.3333
581;-0.00253333;-50.6667
582;-0.0024;-48.0
583;-0.00226667;-45.3333
584;-0.00213333;-42.6667
585;-0.002;-40.0
586;-0.00186667;-37.3333
587;-0.00173333;-34.6667
588;-0.0016;-32.0
589;-0.00146667;-29.3333
590;-0.00133333;-26.6667
591;-0.0012;-24.0
592;-0.00106667;-21.3333
593;-0.000933333;-18.6667
594;-0.0008;-16.0
595;-0.000666667;-13.3333
596;-0.000533333;-10.6667
597;-0.0004;-8.0
598;-0.000266667;-5.33333
599;-0.000133333;-2.66667
600;5.42101e-19;-5.26464e-15
