time-traction1_ex2_cl;exx-traction1_ex2_cl;sxx-traction1_ex2_cl
479;0.0479;958
480;0.048;960
481;0.0481;962
482;0.0482;964
483;0.0483;966
484;0.0484;968
485;0.0485;970
486;0.0486;972
487;0.0487;974
488;0.0488;976
489;0.0489;978
490;0.049;980
491;0.0491;982
492;0.0492;984
493;0.0493;986
494;0.0494;988
495;0.0495;990
496;0.0496;992
497;0.0497;994
498;0.0498;996
499;0.0499;998
500;0.05;1000
501;0.0501;1002
502;0.0502;1004
503;0.0503;1006
504;0.0504;1008
505;0.0505;1010
506;0.0506;1012
507;0.0507;1014
508;0.0508;1016
509;0.0509;1018
510;0.051;1020
511;0.0511;1022
512;0.0512;1024
513;0.0513;1026
514;0.0514;1028
515;0.0515;1030
516;0.0516;1032
517;0.0517;1034
518;0.0518;1036
519;0.0519;1038
520;0.052;1040
521;0.0521;1042
522;0.0522;1044
523;0.0523;1046
524;0.0524;1048
525;0.0525;1050
526;0.0526;1052
527;0.0527;1054
528;0.0528;1056
529;0.0529;1058
530;0.053;1060
531;0.0531;1062
532;0.0532;1064
533;0.0533;1066
534;0.0534;1068
535;0.0535;1070
536;0.0536;1072
537;0.0537;1074
538;0.0538;1076
539;0.0539;1078
540;0.054;1080
541;0.0541;1082
542;0.0542;1084
543;0.0543;1086
544;0.0544;1088
545;0.0545;1090
546;0.0546;1092
547;0.0547;1094
548;0.0548;1096
549;0.0549;1098
550;0.055;1100
551;0.0551;1102
552;0.0552;1104
553;0.0553;1106
554;0.0554;1108
555;0.0555;1110
556;0.0556;1112
557;0.0557;1114
558;0.0558;1116
559;0.0559;1118
560;0.056;1120
561;0.0561;1122
562;0.0562;1124
563;0.0563;1126
564;0.0564;1128
565;0.0565;1130
566;0.0566;1132
567;0.0567;1134
568;0.0568;1136
569;0.0569;1138
570;0.057;1140
571;0.0571;1142
572;0.0572;1144
573;0.0573;1146
574;0.0574;1148
575;0.0575;1150
576;0.0576;1152
577;0.0577;1154
578;0.0578;1156
579;0.0579;1158
580;0.058;1160
581;0.0581;1162
582;0.0582;1164
583;0.0583;1166
584;0.0584;1168
585;0.0585;1170
586;0.0586;1172
587;0.0587;1174
588;0.0588;1176
589;0.0589;1178
590;0.059;1180
591;0.0591;1182
592;0.0592;1184
593;0.0593;1186
594;0.0594;1188
595;0.0595;1190
596;0.0596;1192
597;0.0597;1194
598;0.0598;1196
599;0.0599;1198
600;0.06;1200
