Time,EXX,SXX
540,0.054,636.311
541,0.0541,636.39
542,0.0542,636.469
543,0.0543,636.547
544,0.0544,636.626
545,0.0545,636.704
546,0.0546,636.782
547,0.0547,636.861
548,0.0548,636.938
549,0.0549,637.016
550,0.055,637.094
551,0.0551,637.171
552,0.0552,637.249
553,0.0553,637.326
554,0.0554,637.403
555,0.0555,637.479
556,0.0556,637.556
557,0.0557,637.633
558,0.0558,637.709
559,0.0559,637.785
560,0.056,637.861
561,0.0561,637.937
562,0.0562,638.013
563,0.0563,638.089
564,0.0564,638.164
565,0.0565,638.24
566,0.0566,638.315
567,0.0567,638.39
568,0.0568,638.465
569,0.0569,638.539
570,0.057,638.614
571,0.0571,638.688
572,0.0572,638.763
573,0.0573,638.837
574,0.0574,638.911
575,0.0575,638.985
576,0.0576,639.058
577,0.0577,639.132
578,0.0578,639.205
579,0.0579,639.279
580,0.058,639.352
581,0.0581,639.425
582,0.0582,639.497
583,0.0583,639.57
584,0.0584,639.643
585,0.0585,639.715
586,0.0586,639.787
587,0.0587,639.859
588,0.0588,639.931
589,0.0589,640.003
590,0.059,640.075
591,0.0591,640.146
592,0.0592,640.218
593,0.0593,640.289
594,0.0594,640.36
595,0.0595,640.431
596,0.0596,640.502
597,0.0597,640.573
598,0.0598,640.643
599,0.0599,640.714
600,0.06,640.784
